LINEID,ROUTEID,DIRECTION,sequence
15D,15D_62,1,"[395, 396, 397, 398, 399, 400, 7581, 1283, 7579, 1285, 1016, 1017, 1018, 1019, 1020, 1076, 1077, 1078, 1079, 1080, 1081, 2914, 2915, 2916, 2917, 2918, 1300, 1301, 1302, 1303, 5129, 5130, 1135, 7064, 7066, 2924, 2925, 2948, 2949, 2950, 2954, 2955]"
15D,15D_63,2,"[7067, 2956, 2965, 2983, 2984, 2941, 2942, 7065, 7063, 1137, 5131, 5132, 1331, 1332, 1333, 1334, 2985, 2986, 2988, 3001, 3002, 1166, 1167, 1168, 1169, 1170, 1069, 1070, 1071, 4528, 1072, 7577, 1353, 1354, 7589, 7578, 7582, 340, 407, 2498, 2499, 7216, 7558, 353, 354]"
15D,15D_65,2,"[7067, 2956, 2965, 2983, 2984, 2941, 2942, 7065, 7063, 1137, 5131, 5132, 1331, 1332, 1333, 1334, 2985, 2986, 2988, 3001, 3002, 1166, 1167, 1168, 1169, 1170, 1069, 1070, 1071, 4528, 1072, 7577, 1353, 1354, 7589, 7578, 7582, 340, 350, 351, 352, 353, 354]"
