LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
46E,46E_93,906,2,27600,3
46E,46E_93,907,2,27600,3
46E,46E_93,908,2,27600,3
46E,46E_93,909,2,27600,3
46E,46E_93,786,2,27600,3
46E,46E_93,792,2,27600,3
46E,46E_93,3085,2,27600,3
46E,46E_93,3114,2,27600,3
46E,46E_93,4353,2,27600,3
46E,46E_93,4355,2,27600,3
46E,46E_93,4354,2,27600,3
46E,46E_93,3345,2,27600,3
46E,46E_93,4727,2,27600,3
46E,46E_93,4728,2,27600,3
46E,46E_93,461,2,27600,3
46E,46E_93,2068,2,27600,3
46E,46E_93,2070,2,27600,3
46E,46E_93,768,2,27600,3
46E,46E_93,769,2,27600,3
46E,46E_93,770,2,27600,3
46E,46E_93,320,2,27600,3
46E,46E_93,7491,2,27600,3
46E,46E_93,278,2,27600,3
46E,46E_93,2,2,27600,3
46E,46E_93,4726,2,27600,3
46E,46E_93,7555,2,27600,3
46E,46E_93,4962,2,27600,3
46E,46E_93,2084,2,27600,3
46E,46E_93,771,2,27600,3
46E,46E_93,3034,2,27600,3
46E,46E_93,3196,2,27600,3
46E,46E_93,2069,2,27600,3
46E,46E_93,773,2,29100,3
46E,46E_93,774,2,29100,3
46E,46E_93,776,2,29100,3
46E,46E_93,777,2,29100,3
46E,46E_93,907,2,29100,3
46E,46E_93,908,2,29100,3
46E,46E_93,909,2,29100,3
46E,46E_93,786,2,29100,3
46E,46E_93,4727,2,29100,3
46E,46E_93,2069,2,29100,3
46E,46E_93,3085,2,29100,3
46E,46E_93,3034,2,29100,3
46E,46E_93,3114,2,29100,3
46E,46E_93,4353,2,29100,3
46E,46E_93,4355,2,29100,3
46E,46E_93,4354,2,29100,3
46E,46E_93,3196,2,29100,3
46E,46E_93,3345,2,29100,3
46E,46E_93,4728,2,29100,3
46E,46E_93,461,2,29100,3
46E,46E_93,2068,2,29100,3
46E,46E_93,2070,2,29100,3
46E,46E_93,768,2,29100,3
46E,46E_93,769,2,29100,3
46E,46E_93,770,2,29100,3
46E,46E_93,771,2,29100,3
46E,46E_93,7491,2,29100,3
46E,46E_93,278,2,29100,3
46E,46E_93,2,2,29100,3
46E,46E_93,4726,2,29100,3
46E,46E_93,4962,2,29100,3
46E,46E_93,792,2,29100,3
46E,46E_93,775,2,29100,3
46E,46E_93,320,2,29100,3
46E,46E_93,2084,2,29100,3
46E,46E_93,772,2,29100,3
46E,46E_93,906,2,29100,3
46E,46E_93,3114,2,27600,4
46E,46E_93,3085,2,27600,4
46E,46E_93,3034,2,27600,4
46E,46E_93,4353,2,27600,4
46E,46E_93,4354,2,27600,4
46E,46E_93,3196,2,27600,4
46E,46E_93,3345,2,27600,4
46E,46E_93,4727,2,27600,4
46E,46E_93,2068,2,27600,4
46E,46E_93,2069,2,27600,4
46E,46E_93,2070,2,27600,4
46E,46E_93,768,2,27600,4
46E,46E_93,769,2,27600,4
46E,46E_93,770,2,27600,4
46E,46E_93,772,2,27600,4
46E,46E_93,773,2,27600,4
46E,46E_93,774,2,27600,4
46E,46E_93,775,2,27600,4
46E,46E_93,776,2,27600,4
46E,46E_93,777,2,27600,4
46E,46E_93,907,2,27600,4
46E,46E_93,909,2,27600,4
46E,46E_93,786,2,27600,4
46E,46E_93,320,2,27600,4
46E,46E_93,7491,2,27600,4
46E,46E_93,278,2,27600,4
46E,46E_93,2,2,27600,4
46E,46E_93,4726,2,27600,4
46E,46E_93,4962,2,27600,4
46E,46E_93,4355,2,27600,4
46E,46E_93,4728,2,27600,4
46E,46E_93,2084,2,27600,4
46E,46E_93,771,2,27600,4
46E,46E_93,906,2,27600,4
46E,46E_93,792,2,27600,4
46E,46E_93,461,2,27600,4
46E,46E_93,908,2,27600,4
46E,46E_93,3034,2,29100,4
46E,46E_93,3085,2,29100,4
46E,46E_93,3114,2,29100,4
46E,46E_93,4353,2,29100,4
46E,46E_93,4355,2,29100,4
46E,46E_93,3196,2,29100,4
46E,46E_93,3345,2,29100,4
46E,46E_93,4727,2,29100,4
46E,46E_93,4728,2,29100,4
46E,46E_93,461,2,29100,4
46E,46E_93,2068,2,29100,4
46E,46E_93,2069,2,29100,4
46E,46E_93,2070,2,29100,4
46E,46E_93,2084,2,29100,4
46E,46E_93,768,2,29100,4
46E,46E_93,770,2,29100,4
46E,46E_93,771,2,29100,4
46E,46E_93,772,2,29100,4
46E,46E_93,773,2,29100,4
46E,46E_93,774,2,29100,4
46E,46E_93,776,2,29100,4
46E,46E_93,777,2,29100,4
46E,46E_93,906,2,29100,4
46E,46E_93,907,2,29100,4
46E,46E_93,908,2,29100,4
46E,46E_93,909,2,29100,4
46E,46E_93,786,2,29100,4
46E,46E_93,792,2,29100,4
46E,46E_93,320,2,29100,4
46E,46E_93,7491,2,29100,4
46E,46E_93,278,2,29100,4
46E,46E_93,2,2,29100,4
46E,46E_93,4726,2,29100,4
46E,46E_93,775,2,29100,4
46E,46E_93,4354,2,29100,4
46E,46E_93,769,2,29100,4
46E,46E_93,3085,2,29100,0
46E,46E_93,3034,2,29100,0
46E,46E_93,3114,2,29100,0
46E,46E_93,4353,2,29100,0
46E,46E_93,4355,2,29100,0
46E,46E_93,4354,2,29100,0
46E,46E_93,3196,2,29100,0
46E,46E_93,3345,2,29100,0
46E,46E_93,4727,2,29100,0
46E,46E_93,4728,2,29100,0
46E,46E_93,461,2,29100,0
46E,46E_93,2068,2,29100,0
46E,46E_93,2069,2,29100,0
46E,46E_93,2070,2,29100,0
46E,46E_93,2084,2,29100,0
46E,46E_93,769,2,29100,0
46E,46E_93,770,2,29100,0
46E,46E_93,771,2,29100,0
46E,46E_93,772,2,29100,0
46E,46E_93,774,2,29100,0
46E,46E_93,775,2,29100,0
46E,46E_93,776,2,29100,0
46E,46E_93,777,2,29100,0
46E,46E_93,907,2,29100,0
46E,46E_93,908,2,29100,0
46E,46E_93,909,2,29100,0
46E,46E_93,792,2,29100,0
46E,46E_93,320,2,29100,0
46E,46E_93,7491,2,29100,0
46E,46E_93,278,2,29100,0
46E,46E_93,4726,2,29100,0
46E,46E_93,4962,2,29100,0
46E,46E_93,768,2,29100,0
46E,46E_93,773,2,29100,0
46E,46E_93,906,2,29100,0
46E,46E_93,786,2,29100,0
46E,46E_93,2,2,29100,0
46E,46E_93,3034,2,27600,0
46E,46E_93,3114,2,27600,0
46E,46E_93,4353,2,27600,0
46E,46E_93,4355,2,27600,0
46E,46E_93,3196,2,27600,0
46E,46E_93,3345,2,27600,0
46E,46E_93,4727,2,27600,0
46E,46E_93,4728,2,27600,0
46E,46E_93,2068,2,27600,0
46E,46E_93,2069,2,27600,0
46E,46E_93,2070,2,27600,0
46E,46E_93,2084,2,27600,0
46E,46E_93,769,2,27600,0
46E,46E_93,770,2,27600,0
46E,46E_93,771,2,27600,0
46E,46E_93,772,2,27600,0
46E,46E_93,773,2,27600,0
46E,46E_93,775,2,27600,0
46E,46E_93,776,2,27600,0
46E,46E_93,777,2,27600,0
46E,46E_93,906,2,27600,0
46E,46E_93,907,2,27600,0
46E,46E_93,909,2,27600,0
46E,46E_93,786,2,27600,0
46E,46E_93,792,2,27600,0
46E,46E_93,320,2,27600,0
46E,46E_93,278,2,27600,0
46E,46E_93,2,2,27600,0
46E,46E_93,4726,2,27600,0
46E,46E_93,4962,2,27600,0
46E,46E_93,3085,2,27600,0
46E,46E_93,4354,2,27600,0
46E,46E_93,461,2,27600,0
46E,46E_93,768,2,27600,0
46E,46E_93,774,2,27600,0
46E,46E_93,908,2,27600,0
46E,46E_93,7491,2,27600,0
46E,46E_93,7555,2,29100,4
46E,46E_93,7555,2,27600,4
46E,46E_93,7555,2,27600,0
46E,46E_93,7555,2,29100,1
46E,46E_93,4962,2,29100,4
46E,46E_93,7555,2,29100,3
46E,46E_93,7555,2,29100,0
46E,46E_94,3085,2,27600,0
46E,46E_94,3034,2,27600,0
46E,46E_94,3114,2,27600,0
46E,46E_94,4353,2,27600,0
46E,46E_94,4355,2,27600,0
46E,46E_94,4354,2,27600,0
46E,46E_94,3196,2,27600,0
46E,46E_94,3345,2,27600,0
46E,46E_94,4727,2,27600,0
46E,46E_94,4728,2,27600,0
46E,46E_94,461,2,27600,0
46E,46E_94,2068,2,27600,0
46E,46E_94,2069,2,27600,0
46E,46E_94,2070,2,27600,0
46E,46E_94,2084,2,27600,0
46E,46E_94,768,2,27600,0
46E,46E_94,769,2,27600,0
46E,46E_94,770,2,27600,0
46E,46E_94,771,2,27600,0
46E,46E_94,772,2,27600,0
46E,46E_94,773,2,27600,0
46E,46E_94,774,2,27600,0
46E,46E_94,775,2,27600,0
46E,46E_94,776,2,27600,0
46E,46E_94,906,2,27600,0
46E,46E_94,907,2,27600,0
46E,46E_94,908,2,27600,0
46E,46E_94,909,2,27600,0
46E,46E_94,786,2,27600,0
46E,46E_94,792,2,27600,0
46E,46E_94,320,2,27600,0
46E,46E_94,7491,2,27600,0
46E,46E_94,2,2,27600,0
46E,46E_94,4726,2,27600,0
46E,46E_94,4962,2,27600,0
46E,46E_94,278,2,27600,0
46E,46E_94,777,2,27600,0
46E,46E_94,7555,2,27600,0
46E,46E_94,3085,2,29100,0
46E,46E_94,3034,2,29100,0
46E,46E_94,3114,2,29100,0
46E,46E_94,4355,2,29100,0
46E,46E_94,4354,2,29100,0
46E,46E_94,3196,2,29100,0
46E,46E_94,3345,2,29100,0
46E,46E_94,4728,2,29100,0
46E,46E_94,461,2,29100,0
46E,46E_94,2068,2,29100,0
46E,46E_94,2069,2,29100,0
46E,46E_94,2084,2,29100,0
46E,46E_94,768,2,29100,0
46E,46E_94,769,2,29100,0
46E,46E_94,770,2,29100,0
46E,46E_94,772,2,29100,0
46E,46E_94,773,2,29100,0
46E,46E_94,774,2,29100,0
46E,46E_94,775,2,29100,0
46E,46E_94,776,2,29100,0
46E,46E_94,907,2,29100,0
46E,46E_94,908,2,29100,0
46E,46E_94,909,2,29100,0
46E,46E_94,792,2,29100,0
46E,46E_94,320,2,29100,0
46E,46E_94,7491,2,29100,0
46E,46E_94,278,2,29100,0
46E,46E_94,4726,2,29100,0
46E,46E_94,777,2,29100,0
46E,46E_94,786,2,29100,0
46E,46E_94,2,2,29100,0
46E,46E_94,4353,2,29100,0
46E,46E_94,4727,2,29100,0
46E,46E_94,2070,2,29100,0
46E,46E_94,771,2,29100,0
46E,46E_94,906,2,29100,0
46E,46E_94,775,2,29100,1
46E,46E_94,776,2,29100,1
46E,46E_94,777,2,29100,1
46E,46E_94,906,2,29100,1
46E,46E_94,908,2,29100,1
46E,46E_94,786,2,29100,1
46E,46E_94,792,2,29100,1
46E,46E_94,7491,2,29100,1
46E,46E_94,2,2,29100,1
46E,46E_94,4726,2,29100,1
46E,46E_94,3085,2,29100,1
46E,46E_94,3114,2,29100,1
46E,46E_94,4353,2,29100,1
46E,46E_94,4355,2,29100,1
46E,46E_94,4354,2,29100,1
46E,46E_94,3196,2,29100,1
46E,46E_94,3345,2,29100,1
46E,46E_94,4727,2,29100,1
46E,46E_94,4728,2,29100,1
46E,46E_94,461,2,29100,1
46E,46E_94,2068,2,29100,1
46E,46E_94,2069,2,29100,1
46E,46E_94,2070,2,29100,1
46E,46E_94,2084,2,29100,1
46E,46E_94,768,2,29100,1
46E,46E_94,770,2,29100,1
46E,46E_94,771,2,29100,1
46E,46E_94,772,2,29100,1
46E,46E_94,773,2,29100,1
46E,46E_94,907,2,29100,1
46E,46E_94,320,2,29100,1
46E,46E_94,909,2,29100,1
46E,46E_94,278,2,29100,1
46E,46E_94,3034,2,29100,1
46E,46E_94,769,2,29100,1
46E,46E_94,774,2,29100,1
46E,46E_94,777,2,27600,1
46E,46E_94,906,2,27600,1
46E,46E_94,907,2,27600,1
46E,46E_94,909,2,27600,1
46E,46E_94,786,2,27600,1
46E,46E_94,792,2,27600,1
46E,46E_94,320,2,27600,1
46E,46E_94,278,2,27600,1
46E,46E_94,2,2,27600,1
46E,46E_94,4726,2,27600,1
46E,46E_94,7555,2,27600,1
46E,46E_94,3085,2,27600,1
46E,46E_94,3034,2,27600,1
46E,46E_94,3114,2,27600,1
46E,46E_94,4353,2,27600,1
46E,46E_94,4355,2,27600,1
46E,46E_94,4354,2,27600,1
46E,46E_94,3345,2,27600,1
46E,46E_94,4727,2,27600,1
46E,46E_94,4728,2,27600,1
46E,46E_94,461,2,27600,1
46E,46E_94,2069,2,27600,1
46E,46E_94,2070,2,27600,1
46E,46E_94,2084,2,27600,1
46E,46E_94,768,2,27600,1
46E,46E_94,769,2,27600,1
46E,46E_94,770,2,27600,1
46E,46E_94,771,2,27600,1
46E,46E_94,772,2,27600,1
46E,46E_94,773,2,27600,1
46E,46E_94,774,2,27600,1
46E,46E_94,775,2,27600,1
46E,46E_94,776,2,27600,1
46E,46E_94,908,2,27600,1
46E,46E_94,7491,2,27600,1
46E,46E_94,4962,2,27600,1
46E,46E_94,3196,2,27600,1
46E,46E_94,2068,2,27600,1
46E,46E_94,3034,2,29100,2
46E,46E_94,3114,2,29100,2
46E,46E_94,4353,2,29100,2
46E,46E_94,4355,2,29100,2
46E,46E_94,4354,2,29100,2
46E,46E_94,3196,2,29100,2
46E,46E_94,3345,2,29100,2
46E,46E_94,4727,2,29100,2
46E,46E_94,4728,2,29100,2
46E,46E_94,461,2,29100,2
46E,46E_94,2068,2,29100,2
46E,46E_94,2069,2,29100,2
46E,46E_94,2070,2,29100,2
46E,46E_94,2084,2,29100,2
46E,46E_94,768,2,29100,2
46E,46E_94,769,2,29100,2
46E,46E_94,770,2,29100,2
46E,46E_94,771,2,29100,2
46E,46E_94,773,2,29100,2
46E,46E_94,774,2,29100,2
46E,46E_94,775,2,29100,2
46E,46E_94,776,2,29100,2
46E,46E_94,777,2,29100,2
46E,46E_94,906,2,29100,2
46E,46E_94,907,2,29100,2
46E,46E_94,909,2,29100,2
46E,46E_94,786,2,29100,2
46E,46E_94,792,2,29100,2
46E,46E_94,320,2,29100,2
46E,46E_94,7491,2,29100,2
46E,46E_94,278,2,29100,2
46E,46E_94,2,2,29100,2
46E,46E_94,4726,2,29100,2
46E,46E_94,7555,2,29100,2
46E,46E_94,4962,2,29100,2
46E,46E_94,772,2,29100,2
46E,46E_94,908,2,29100,2
46E,46E_94,3085,2,29100,2
46E,46E_94,4353,2,27600,2
46E,46E_94,3114,2,27600,2
46E,46E_94,4354,2,27600,2
46E,46E_94,3196,2,27600,2
46E,46E_94,3345,2,27600,2
46E,46E_94,4727,2,27600,2
46E,46E_94,461,2,27600,2
46E,46E_94,2068,2,27600,2
46E,46E_94,2069,2,27600,2
46E,46E_94,2070,2,27600,2
46E,46E_94,768,2,27600,2
46E,46E_94,769,2,27600,2
46E,46E_94,770,2,27600,2
46E,46E_94,771,2,27600,2
46E,46E_94,773,2,27600,2
46E,46E_94,774,2,27600,2
46E,46E_94,776,2,27600,2
46E,46E_94,777,2,27600,2
46E,46E_94,906,2,27600,2
46E,46E_94,907,2,27600,2
46E,46E_94,908,2,27600,2
46E,46E_94,909,2,27600,2
46E,46E_94,786,2,27600,2
46E,46E_94,792,2,27600,2
46E,46E_94,320,2,27600,2
46E,46E_94,278,2,27600,2
46E,46E_94,2,2,27600,2
46E,46E_94,4726,2,27600,2
46E,46E_94,3085,2,27600,2
46E,46E_94,772,2,27600,2
46E,46E_94,775,2,27600,2
46E,46E_94,7491,2,27600,2
46E,46E_94,4962,2,27600,2
46E,46E_94,4355,2,27600,2
46E,46E_94,4728,2,27600,2
46E,46E_94,2084,2,27600,2
46E,46E_94,320,2,27600,3
46E,46E_94,7555,2,27600,3
46E,46E_94,3085,2,27600,3
46E,46E_94,4354,2,27600,3
46E,46E_94,772,2,27600,3
46E,46E_94,773,2,27600,3
46E,46E_94,774,2,27600,3
46E,46E_94,775,2,27600,3
46E,46E_94,777,2,27600,3
46E,46E_94,906,2,27600,3
46E,46E_94,907,2,27600,3
46E,46E_94,908,2,27600,3
46E,46E_94,909,2,27600,3
46E,46E_94,786,2,27600,3
46E,46E_94,792,2,27600,3
46E,46E_94,7491,2,27600,3
46E,46E_94,2,2,27600,3
46E,46E_94,4726,2,27600,3
46E,46E_94,4962,2,27600,3
46E,46E_94,3034,2,27600,3
46E,46E_94,3114,2,27600,3
46E,46E_94,4353,2,27600,3
46E,46E_94,4355,2,27600,3
46E,46E_94,3345,2,27600,3
46E,46E_94,4727,2,27600,3
46E,46E_94,4728,2,27600,3
46E,46E_94,461,2,27600,3
46E,46E_94,2068,2,27600,3
46E,46E_94,2069,2,27600,3
46E,46E_94,2070,2,27600,3
46E,46E_94,2084,2,27600,3
46E,46E_94,768,2,27600,3
46E,46E_94,769,2,27600,3
46E,46E_94,771,2,27600,3
46E,46E_94,770,2,27600,3
46E,46E_94,776,2,27600,3
46E,46E_94,278,2,27600,3
46E,46E_94,3196,2,27600,3
46E,46E_94,278,2,29100,3
46E,46E_94,3114,2,29100,3
46E,46E_94,3345,2,29100,3
46E,46E_94,772,2,29100,3
46E,46E_94,773,2,29100,3
46E,46E_94,774,2,29100,3
46E,46E_94,775,2,29100,3
46E,46E_94,776,2,29100,3
46E,46E_94,777,2,29100,3
46E,46E_94,906,2,29100,3
46E,46E_94,907,2,29100,3
46E,46E_94,908,2,29100,3
46E,46E_94,786,2,29100,3
46E,46E_94,792,2,29100,3
46E,46E_94,320,2,29100,3
46E,46E_94,7491,2,29100,3
46E,46E_94,2,2,29100,3
46E,46E_94,4726,2,29100,3
46E,46E_94,3034,2,29100,3
46E,46E_94,4353,2,29100,3
46E,46E_94,4355,2,29100,3
46E,46E_94,4354,2,29100,3
46E,46E_94,3196,2,29100,3
46E,46E_94,4727,2,29100,3
46E,46E_94,4728,2,29100,3
46E,46E_94,461,2,29100,3
46E,46E_94,2069,2,29100,3
46E,46E_94,2070,2,29100,3
46E,46E_94,2084,2,29100,3
46E,46E_94,768,2,29100,3
46E,46E_94,769,2,29100,3
46E,46E_94,770,2,29100,3
46E,46E_94,771,2,29100,3
46E,46E_94,2068,2,29100,3
46E,46E_94,909,2,29100,3
46E,46E_94,3085,2,29100,3
46E,46E_94,4962,2,29100,1
46E,46E_94,3034,2,27600,2
46E,46E_94,4962,2,29100,3
46E,46E_94,3085,2,29100,4
46E,46E_94,3034,2,29100,4
46E,46E_94,3114,2,29100,4
46E,46E_94,4355,2,29100,4
46E,46E_94,3196,2,29100,4
46E,46E_94,3345,2,29100,4
46E,46E_94,4727,2,29100,4
46E,46E_94,4728,2,29100,4
46E,46E_94,461,2,29100,4
46E,46E_94,2068,2,29100,4
46E,46E_94,2069,2,29100,4
46E,46E_94,2070,2,29100,4
46E,46E_94,2084,2,29100,4
46E,46E_94,769,2,29100,4
46E,46E_94,770,2,29100,4
46E,46E_94,771,2,29100,4
46E,46E_94,772,2,29100,4
46E,46E_94,773,2,29100,4
46E,46E_94,774,2,29100,4
46E,46E_94,775,2,29100,4
46E,46E_94,776,2,29100,4
46E,46E_94,777,2,29100,4
46E,46E_94,906,2,29100,4
46E,46E_94,908,2,29100,4
46E,46E_94,909,2,29100,4
46E,46E_94,786,2,29100,4
46E,46E_94,792,2,29100,4
46E,46E_94,320,2,29100,4
46E,46E_94,7491,2,29100,4
46E,46E_94,278,2,29100,4
46E,46E_94,2,2,29100,4
46E,46E_94,4726,2,29100,4
46E,46E_94,4353,2,29100,4
46E,46E_94,4354,2,29100,4
46E,46E_94,768,2,29100,4
46E,46E_94,907,2,29100,4
46E,46E_94,3034,2,27600,4
46E,46E_94,3114,2,27600,4
46E,46E_94,4354,2,27600,4
46E,46E_94,3196,2,27600,4
46E,46E_94,3345,2,27600,4
46E,46E_94,4727,2,27600,4
46E,46E_94,461,2,27600,4
46E,46E_94,2068,2,27600,4
46E,46E_94,2070,2,27600,4
46E,46E_94,768,2,27600,4
46E,46E_94,769,2,27600,4
46E,46E_94,770,2,27600,4
46E,46E_94,771,2,27600,4
46E,46E_94,773,2,27600,4
46E,46E_94,774,2,27600,4
46E,46E_94,775,2,27600,4
46E,46E_94,776,2,27600,4
46E,46E_94,906,2,27600,4
46E,46E_94,908,2,27600,4
46E,46E_94,909,2,27600,4
46E,46E_94,792,2,27600,4
46E,46E_94,320,2,27600,4
46E,46E_94,7491,2,27600,4
46E,46E_94,278,2,27600,4
46E,46E_94,4726,2,27600,4
46E,46E_94,7555,2,27600,4
46E,46E_94,4353,2,27600,4
46E,46E_94,4355,2,27600,4
46E,46E_94,4728,2,27600,4
46E,46E_94,2084,2,27600,4
46E,46E_94,772,2,27600,4
46E,46E_94,777,2,27600,4
46E,46E_94,786,2,27600,4
46E,46E_94,2,2,27600,4
46E,46E_94,3085,2,27600,4
46E,46E_94,2069,2,27600,4
46E,46E_94,907,2,27600,4
46E,46E_94,4962,2,27600,4
46E,46E_94,4962,2,29100,0
46E,46E_94,4962,2,29100,4
46E,46E_94,7555,2,29100,3
46E,46E_94,7555,2,29100,1
46E,46E_94,7555,2,27600,2
46E,46E_94,7555,2,29100,4
46E,46E_94,7555,2,29100,0
