LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
70D,70D_71,16,2,26100,3
70D,70D_71,5144,2,26100,3
70D,70D_71,156,2,26100,3
70D,70D_71,27,2,26100,3
70D,70D_71,28,2,26100,3
70D,70D_71,29,2,26100,3
70D,70D_71,90,2,26100,3
70D,70D_71,91,2,26100,3
70D,70D_71,7571,2,26100,3
70D,70D_71,1510,2,26100,3
70D,70D_71,4680,2,26100,3
70D,70D_71,3336,2,26100,3
70D,70D_71,3333,2,26100,3
70D,70D_71,1841,2,26100,3
70D,70D_71,1695,2,26100,3
70D,70D_71,7027,2,26100,3
70D,70D_70,7571,1,61500,4
70D,70D_70,1644,1,61500,4
70D,70D_70,1605,1,61500,4
70D,70D_70,38,1,61500,4
70D,70D_70,39,1,61500,4
70D,70D_70,175,1,61500,4
70D,70D_70,5147,1,61500,4
70D,70D_70,1660,1,61500,4
70D,70D_70,1661,1,61500,4
70D,70D_70,1662,1,61500,4
70D,70D_70,1664,1,61500,4
70D,70D_70,1668,1,61500,4
70D,70D_70,1669,1,61500,4
70D,70D_70,1670,1,61500,4
70D,70D_70,1671,1,61500,4
70D,70D_70,1673,1,61500,4
70D,70D_70,1674,1,61500,4
70D,70D_70,1675,1,61500,4
70D,70D_70,1813,1,61500,4
70D,70D_70,4325,1,61500,4
70D,70D_70,3328,1,61500,4
70D,70D_70,37,1,61500,4
70D,70D_70,4498,1,61500,4
70D,70D_70,1665,1,61500,4
70D,70D_70,1667,1,61500,4
70D,70D_70,1672,1,61500,4
70D,70D_70,1849,1,61500,4
70D,70D_70,1814,1,61500,4
70D,70D_70,115,1,61500,4
70D,70D_70,1666,1,61500,4
70D,70D_71,3333,2,26100,4
70D,70D_71,3334,2,26100,4
70D,70D_71,3352,2,26100,4
70D,70D_71,3335,2,26100,4
70D,70D_71,3337,2,26100,4
70D,70D_71,3339,2,26100,4
70D,70D_71,3340,2,26100,4
70D,70D_71,1840,2,26100,4
70D,70D_71,1841,2,26100,4
70D,70D_71,4314,2,26100,4
70D,70D_71,1687,2,26100,4
70D,70D_71,1689,2,26100,4
70D,70D_71,1690,2,26100,4
70D,70D_71,1692,2,26100,4
70D,70D_71,1694,2,26100,4
70D,70D_71,1695,2,26100,4
70D,70D_71,1696,2,26100,4
70D,70D_71,1697,2,26100,4
70D,70D_71,1698,2,26100,4
70D,70D_71,1699,2,26100,4
70D,70D_71,1700,2,26100,4
70D,70D_71,1701,2,26100,4
70D,70D_71,1702,2,26100,4
70D,70D_71,16,2,26100,4
70D,70D_71,5144,2,26100,4
70D,70D_71,7027,2,26100,4
70D,70D_71,1510,2,26100,4
70D,70D_71,156,2,26100,4
70D,70D_71,27,2,26100,4
70D,70D_71,28,2,26100,4
70D,70D_71,29,2,26100,4
70D,70D_71,4680,2,26100,4
70D,70D_71,90,2,26100,4
70D,70D_71,91,2,26100,4
70D,70D_71,7571,2,26100,4
70D,70D_71,3336,2,26100,4
70D,70D_71,1545,2,26100,4
70D,70D_71,1688,2,26100,4
70D,70D_71,1693,2,26100,4
70D,70D_71,3338,2,26100,4
70D,70D_71,1691,2,26100,4
70D,70D_70,7571,1,61500,0
70D,70D_70,1644,1,61500,0
70D,70D_70,1605,1,61500,0
70D,70D_70,115,1,61500,0
70D,70D_70,37,1,61500,0
70D,70D_70,38,1,61500,0
70D,70D_70,175,1,61500,0
70D,70D_70,5147,1,61500,0
70D,70D_70,4498,1,61500,0
70D,70D_70,1660,1,61500,0
70D,70D_70,1661,1,61500,0
70D,70D_70,1662,1,61500,0
70D,70D_70,1664,1,61500,0
70D,70D_70,1665,1,61500,0
70D,70D_70,1668,1,61500,0
70D,70D_70,1669,1,61500,0
70D,70D_70,1670,1,61500,0
70D,70D_70,1671,1,61500,0
70D,70D_70,1673,1,61500,0
70D,70D_70,1674,1,61500,0
70D,70D_70,1675,1,61500,0
70D,70D_70,1849,1,61500,0
70D,70D_70,4325,1,61500,0
70D,70D_70,3328,1,61500,0
70D,70D_70,3329,1,61500,0
70D,70D_70,3331,1,61500,0
70D,70D_70,3351,1,61500,0
70D,70D_70,3332,1,61500,0
70D,70D_70,3333,1,61500,0
70D,70D_70,1667,1,61500,0
70D,70D_70,1672,1,61500,0
70D,70D_70,1813,1,61500,0
70D,70D_70,3330,1,61500,0
70D,70D_70,39,1,61500,0
70D,70D_70,1666,1,61500,0
70D,70D_70,1814,1,61500,0
70D,70D_71,3333,2,26100,0
70D,70D_71,3334,2,26100,0
70D,70D_71,3335,2,26100,0
70D,70D_71,3336,2,26100,0
70D,70D_71,3337,2,26100,0
70D,70D_71,3338,2,26100,0
70D,70D_71,3339,2,26100,0
70D,70D_71,3340,2,26100,0
70D,70D_71,1545,2,26100,0
70D,70D_71,1840,2,26100,0
70D,70D_71,1841,2,26100,0
70D,70D_71,1687,2,26100,0
70D,70D_71,1688,2,26100,0
70D,70D_71,1691,2,26100,0
70D,70D_71,1692,2,26100,0
70D,70D_71,1693,2,26100,0
70D,70D_71,1695,2,26100,0
70D,70D_71,1696,2,26100,0
70D,70D_71,1697,2,26100,0
70D,70D_71,1698,2,26100,0
70D,70D_71,1700,2,26100,0
70D,70D_71,1701,2,26100,0
70D,70D_71,16,2,26100,0
70D,70D_71,1510,2,26100,0
70D,70D_71,156,2,26100,0
70D,70D_71,27,2,26100,0
70D,70D_71,28,2,26100,0
70D,70D_71,4680,2,26100,0
70D,70D_71,90,2,26100,0
70D,70D_71,91,2,26100,0
70D,70D_71,7571,2,26100,0
70D,70D_71,1689,2,26100,0
70D,70D_71,1694,2,26100,0
70D,70D_71,1699,2,26100,0
70D,70D_71,5144,2,26100,0
70D,70D_71,29,2,26100,0
70D,70D_71,3352,2,26100,0
70D,70D_71,4314,2,26100,0
70D,70D_71,1690,2,26100,0
70D,70D_71,1702,2,26100,0
70D,70D_70,1644,1,61500,1
70D,70D_70,1605,1,61500,1
70D,70D_70,115,1,61500,1
70D,70D_70,37,1,61500,1
70D,70D_70,38,1,61500,1
70D,70D_70,39,1,61500,1
70D,70D_70,5147,1,61500,1
70D,70D_70,4498,1,61500,1
70D,70D_70,1661,1,61500,1
70D,70D_70,1664,1,61500,1
70D,70D_70,1665,1,61500,1
70D,70D_70,1666,1,61500,1
70D,70D_70,1667,1,61500,1
70D,70D_70,1668,1,61500,1
70D,70D_70,1669,1,61500,1
70D,70D_70,1670,1,61500,1
70D,70D_70,1671,1,61500,1
70D,70D_70,1672,1,61500,1
70D,70D_70,1674,1,61500,1
70D,70D_70,1675,1,61500,1
70D,70D_70,1849,1,61500,1
70D,70D_70,1813,1,61500,1
70D,70D_70,1814,1,61500,1
70D,70D_70,4325,1,61500,1
70D,70D_70,3329,1,61500,1
70D,70D_70,3330,1,61500,1
70D,70D_70,3332,1,61500,1
70D,70D_70,3333,1,61500,1
70D,70D_70,1660,1,61500,1
70D,70D_70,3328,1,61500,1
70D,70D_70,7571,1,61500,1
70D,70D_70,175,1,61500,1
70D,70D_70,3351,1,61500,1
