LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
31D,31D_51,930,2,27900,3
31D,31D_51,931,2,27900,3
31D,31D_51,587,2,27900,3
31D,31D_51,588,2,27900,3
31D,31D_51,589,2,27900,3
31D,31D_51,591,2,27900,3
31D,31D_51,592,2,27900,3
31D,31D_51,594,2,27900,3
31D,31D_51,596,2,27900,3
31D,31D_51,597,2,27900,3
31D,31D_51,598,2,27900,3
31D,31D_51,599,2,27900,3
31D,31D_51,600,2,27900,3
31D,31D_51,601,2,27900,3
31D,31D_51,602,2,27900,3
31D,31D_51,604,2,27900,3
31D,31D_51,593,2,27900,3
31D,31D_51,595,2,27900,3
31D,31D_51,4791,2,27900,3
31D,31D_51,590,2,27900,3
31D,31D_51,603,2,27900,3
31D,31D_50,7571,1,62100,3
31D,31D_50,1190,1,62100,3
31D,31D_50,1192,1,62100,3
31D,31D_50,1193,1,62100,3
31D,31D_50,1194,1,62100,3
31D,31D_50,1195,1,62100,3
31D,31D_50,674,1,62100,3
31D,31D_50,4389,1,62100,3
31D,31D_50,4390,1,62100,3
31D,31D_50,530,1,62100,3
31D,31D_50,531,1,62100,3
31D,31D_50,532,1,62100,3
31D,31D_50,533,1,62100,3
31D,31D_50,534,1,62100,3
31D,31D_50,535,1,62100,3
31D,31D_50,536,1,62100,3
31D,31D_50,537,1,62100,3
31D,31D_50,538,1,62100,3
31D,31D_50,539,1,62100,3
31D,31D_50,540,1,62100,3
31D,31D_50,541,1,62100,3
31D,31D_50,543,1,62100,3
31D,31D_50,544,1,62100,3
31D,31D_50,545,1,62100,3
31D,31D_50,546,1,62100,3
31D,31D_50,910,1,62100,3
31D,31D_50,911,1,62100,3
31D,31D_50,912,1,62100,3
31D,31D_50,913,1,62100,3
31D,31D_50,1191,1,62100,3
31D,31D_50,709,1,62100,3
31D,31D_50,542,1,62100,3
31D,31D_51,7571,2,27900,4
31D,31D_51,928,2,27900,4
31D,31D_51,929,2,27900,4
31D,31D_51,930,2,27900,4
31D,31D_51,587,2,27900,4
31D,31D_51,588,2,27900,4
31D,31D_51,589,2,27900,4
31D,31D_51,590,2,27900,4
31D,31D_51,591,2,27900,4
31D,31D_51,592,2,27900,4
31D,31D_51,593,2,27900,4
31D,31D_51,594,2,27900,4
31D,31D_51,595,2,27900,4
31D,31D_51,597,2,27900,4
31D,31D_51,598,2,27900,4
31D,31D_51,599,2,27900,4
31D,31D_51,600,2,27900,4
31D,31D_51,601,2,27900,4
31D,31D_51,602,2,27900,4
31D,31D_51,603,2,27900,4
31D,31D_51,604,2,27900,4
31D,31D_51,605,2,27900,4
31D,31D_51,606,2,27900,4
31D,31D_51,608,2,27900,4
31D,31D_51,4791,2,27900,4
31D,31D_51,4792,2,27900,4
31D,31D_51,1185,2,27900,4
31D,31D_51,1186,2,27900,4
31D,31D_51,1187,2,27900,4
31D,31D_51,1188,2,27900,4
31D,31D_51,237,2,27900,4
31D,31D_51,206,2,27900,4
31D,31D_51,931,2,27900,4
31D,31D_51,596,2,27900,4
31D,31D_51,607,2,27900,4
31D,31D_51,1643,2,27900,4
31D,31D_50,7571,1,62100,4
31D,31D_50,1190,1,62100,4
31D,31D_50,1191,1,62100,4
31D,31D_50,1192,1,62100,4
31D,31D_50,1193,1,62100,4
31D,31D_50,1194,1,62100,4
31D,31D_50,1195,1,62100,4
31D,31D_50,4389,1,62100,4
31D,31D_50,4390,1,62100,4
31D,31D_50,530,1,62100,4
31D,31D_50,531,1,62100,4
31D,31D_50,709,1,62100,4
31D,31D_50,532,1,62100,4
31D,31D_50,533,1,62100,4
31D,31D_50,534,1,62100,4
31D,31D_50,535,1,62100,4
31D,31D_50,537,1,62100,4
31D,31D_50,538,1,62100,4
31D,31D_50,539,1,62100,4
31D,31D_50,540,1,62100,4
31D,31D_50,541,1,62100,4
31D,31D_50,542,1,62100,4
31D,31D_50,544,1,62100,4
31D,31D_50,545,1,62100,4
31D,31D_50,546,1,62100,4
31D,31D_50,910,1,62100,4
31D,31D_50,911,1,62100,4
31D,31D_50,912,1,62100,4
31D,31D_50,913,1,62100,4
31D,31D_50,674,1,62100,4
31D,31D_50,536,1,62100,4
31D,31D_50,543,1,62100,4
31D,31D_51,928,2,27900,0
31D,31D_51,929,2,27900,0
31D,31D_51,931,2,27900,0
31D,31D_51,588,2,27900,0
31D,31D_51,589,2,27900,0
31D,31D_51,590,2,27900,0
31D,31D_51,591,2,27900,0
31D,31D_51,593,2,27900,0
31D,31D_51,594,2,27900,0
31D,31D_51,595,2,27900,0
31D,31D_51,596,2,27900,0
31D,31D_51,598,2,27900,0
31D,31D_51,600,2,27900,0
31D,31D_51,601,2,27900,0
31D,31D_51,603,2,27900,0
31D,31D_51,604,2,27900,0
31D,31D_51,605,2,27900,0
31D,31D_51,607,2,27900,0
31D,31D_51,608,2,27900,0
31D,31D_51,4791,2,27900,0
31D,31D_51,4792,2,27900,0
31D,31D_51,1187,2,27900,0
31D,31D_51,1188,2,27900,0
31D,31D_51,237,2,27900,0
31D,31D_51,1643,2,27900,0
31D,31D_51,7571,2,27900,0
31D,31D_51,587,2,27900,0
31D,31D_51,592,2,27900,0
31D,31D_51,597,2,27900,0
31D,31D_51,602,2,27900,0
31D,31D_51,606,2,27900,0
31D,31D_51,1185,2,27900,0
31D,31D_51,206,2,27900,0
31D,31D_51,930,2,27900,0
31D,31D_51,599,2,27900,0
31D,31D_51,1186,2,27900,0
31D,31D_50,7571,1,62100,0
31D,31D_50,1190,1,62100,0
31D,31D_50,1191,1,62100,0
31D,31D_50,1192,1,62100,0
31D,31D_50,1193,1,62100,0
31D,31D_50,1195,1,62100,0
31D,31D_50,674,1,62100,0
31D,31D_50,4390,1,62100,0
31D,31D_50,530,1,62100,0
31D,31D_50,531,1,62100,0
31D,31D_50,709,1,62100,0
31D,31D_50,533,1,62100,0
31D,31D_50,534,1,62100,0
31D,31D_50,535,1,62100,0
31D,31D_50,536,1,62100,0
31D,31D_50,539,1,62100,0
31D,31D_50,540,1,62100,0
31D,31D_50,542,1,62100,0
31D,31D_50,543,1,62100,0
31D,31D_50,544,1,62100,0
31D,31D_50,545,1,62100,0
31D,31D_50,910,1,62100,0
31D,31D_50,911,1,62100,0
31D,31D_50,912,1,62100,0
31D,31D_50,913,1,62100,0
31D,31D_50,4389,1,62100,0
31D,31D_50,532,1,62100,0
31D,31D_50,537,1,62100,0
31D,31D_50,541,1,62100,0
31D,31D_50,546,1,62100,0
31D,31D_50,1194,1,62100,0
31D,31D_50,538,1,62100,0
